Study_Sample	Species	Downsampling	Companion_Sample	Grouping_Sites	Non_Grouping_Sites	Ratio	Z_Score	P_Val	Significant_Bonferroni
xlc_1	xlc	0.25X	CarPalm	127	10209	1.2287151702786376	0.5193798449612402	0.30174794177177067	No
xlc_1	xlc	0.25X	CarCat	162	10174	1.5673374613003097	1.062015503875969	0.14411432344047076	No
xlc_1	xlc	0.5X	CarPalm	182	18519	0.9732099887706539	0.39195979899497485	0.34754395882395617	No
xlc_1	xlc	0.025X	CarAqu	206	975	17.442845046570703	26.26666666666667	2.305648112039423e-152	Yes
xlc_1	xlc	0.5X	CarCat	241	18460	1.2887011389765253	0.9849246231155779	0.16233054873287328	No
xlc_1	xlc	0.01X	CarIll	332	97	77.3892773892774	131.4	0	Yes
xlc_1	xlc	0.05X	CarAqu	463	1825	20.236013986013987	22.435897435897434	8.786407488923651e-112	Yes
xlc_1	xlc	0.1X	CarAqu	794	3522	18.39666357738647	27.4	1.3712616389463294e-165	Yes
xlc_1	xlc	0.025X	CarIll	929	252	78.66215071972904	122.66666666666666	0	Yes
xlc_1	xlc	0.05X	CarIll	1701	587	74.3444055944056	85.9230769230769	0	Yes
xlc_1	xlc	0.25X	CarAqu	2013	8323	19.47561919504644	29.759689922480618	6.49674778266445e-195	Yes
xlc_1	xlc	0.1X	CarIll	3323	993	76.99258572752548	119.36363636363637	0	Yes
xlc_1	xlc	0.5X	CarAqu	3476	15225	18.58724132399337	33.49748743718593	2.621646048182471e-246	Yes
xlc_1	xlc	0.25X	CarIll	7873	2463	76.17066563467493	120.6124031007752	0	Yes
xlc_1	xlc	0.5X	CarIll	14534	4167	77.7177691032565	144.63316582914572	0	Yes
xlc_2	xlc	0.01X	CarLac	0	178	0	-1	0.15865525393145705	No
xlc_2	xlc	0.01X	CarPalm	0	178	0	-1	0.15865525393145705	No
xlc_2	xlc	0.025X	CarMyr	0	357	0	-1	0.15865525393145705	No
xlc_2	xlc	0.025X	CarOva	0	357	0	-1	0.15865525393145705	No
xlc_2	xlc	0.05X	CarOva	0	741	0	-1.4615384615384617	0.0719338642408076	No
xlc_2	xlc	0.01X	CarCor	1	177	0.5617977528089888	0	0.5	No
xlc_2	xlc	0.01X	CarMyr	1	177	0.5617977528089888	0	0.5	No
xlc_2	xlc	0.01X	CarOva	1	177	0.5617977528089888	0	0.5	No
xlc_2	xlc	0.025X	CarLac	2	355	0.5602240896358543	-0.3333333333333333	0.36944134018176367	No
xlc_2	xlc	0.025X	CarPalm	2	355	0.5602240896358543	-0.3333333333333333	0.36944134018176367	No
xlc_2	xlc	0.01X	CarCat	3	175	1.6853932584269662	2	0.022750131948179212	No
xlc_2	xlc	0.1X	CarLac	3	1433	0.20891364902506965	-1.1428571428571428	0.1265489544735578	No
xlc_2	xlc	0.05X	CarCor	3	738	0.4048582995951417	-1	0.15865525393145705	No
xlc_2	xlc	0.025X	CarCor	4	353	1.1204481792717087	0.3333333333333334	0.3694413401817636	No
xlc_2	xlc	0.1X	CarOva	5	1431	0.34818941504178275	-0.8571428571428572	0.195682969153776	No
xlc_2	xlc	0.05X	CarMyr	6	735	0.8097165991902834	-0.5384615384615384	0.295129225657386	No
xlc_2	xlc	0.05X	CarPalm	6	735	0.8097165991902834	-0.5384615384615384	0.295129225657386	No
xlc_2	xlc	0.25X	CarLac	7	3622	0.19289060347203085	-1.2173913043478262	0.1117276849704832	No
xlc_2	xlc	0.1X	CarCor	9	1427	0.6267409470752089	-0.2857142857142858	0.38754848109799234	No
xlc_2	xlc	0.1X	CarPalm	9	1427	0.6267409470752089	-0.2857142857142858	0.38754848109799234	No
xlc_2	xlc	0.25X	CarOva	12	3617	0.3306696059520529	-0.782608695652174	0.2169284667785207	No
xlc_2	xlc	0.025X	CarCat	12	345	3.361344537815126	3	0.0013498980316300946	Yes
xlc_2	xlc	0.1X	CarMyr	13	1423	0.9052924791086351	0.2857142857142856	0.3875484810979924	No
